item_id,min_price,median,quantity
40160,5210,5210,15
40162,4500,4500,62
40164,8500,8500,11
40167,5000,5010,54
40157,2372,2396,54
185477,1700,1700,2
109126,133,321,75127
40155,6589,6589,37
40154,3998,3998,9
40153,3981,3981,4
184392,500,21171850,8
40152,4799,4799,18
40146,6500,6500,100
40144,2521,2521,34
176874,299,300,60
109128,145,330,69556
40141,4000,4000,12
40135,6200,6200,9
185737,800,175400,2
40133,2000,2000,37
205870,202,202,26
191501,10006,12098,2244
40130,1000,1000,26
128315,357092,474999,957
41400,2250,5354,39
204701,6000,7436,1839
41380,3870,3875,32
41395,3795,3800,34
41396,5021,5026,38
41376,27515,27515,11
41375,2000,2000,26
41333,6000,6000,44
41307,3400,3400,24
198493,12556,50070,2519
185483,50000,50000,5
176853,38,4999999,240
172438,395,395,465
185482,4000,480000,29
36811,50,50,70
112321,205,247,2155
40182,4008,4008,10
40169,1200,1400,55
40168,12695,12695,14
40166,1567,1567,16
40165,4500,4500,16
14342,9310,29901,3125
191372,94,19800,814
40150,8500,8500,152
40149,5881,5881,170
40147,1000,1000,114
185481,2500,2500,69
40139,10060,10060,32
40128,3596,3596,22
40127,9500,12500,18
40125,2573,2573,20
187712,18,18,149
40124,2500,2500,39
40120,11048,11048,15
23441,300,396,83
40119,1021,1021,30
36813,65,65,110
40118,2599,9999,97
40116,8035,8035,47
112292,570,868,6
40115,2510,2510,15
10561,1299,2025,6597
112280,941,990,8
40113,1500,1960,85
52186,3399,4500,43348
40111,4499,4500,63
40017,5000,5000,13
22791,495,925,4162
40016,2000,2000,13
40014,4518,4518,24
40013,6000,6000,15
40011,900,1000,16
40010,1471,1471,115
112300,5473,5486,8
40008,1200,1200,31
76677,380,380,10
154125,1486,1501,973
174207,1200,1200,4
39997,5000,5000,12
191940,2396,2497,868
39998,5970,5970,10
40000,5500,5500,5
76580,700,1050,4
40001,997,997,6
39996,4499,4500,30
76682,500,7787,18
40026,3825,6630,14
19263,13599,16999,8
41398,21575,21575,14
192920,7538,7899,60
153712,269,269,332
41389,14955,14960,51
76570,1950,3500,17
41385,19088,19093,10
41377,3512,3512,9
41378,33299,33299,23
22202,1164,1574,2511
41379,9900,9900,14
41339,79997,163397,314
41335,3623,3623,10
194820,1480,1490,33755
40106,3199,3199,13
40105,1858,1858,8
40102,5899,5899,16
40100,590,590,32
200819,7099,7099,197
40098,1500,1500,11
40095,8522,8522,9
40091,5518,5518,18
40090,1300,1300,16
155618,40,480040,860
40089,1100,1100,9
40067,99,1034,162
40088,5000,5000,10
40086,6518,6518,15
40052,6534,15000,39
52089,425,444,129
40055,3100,3100,14
103795,98,98,425
40057,5518,5518,8
44331,1995,1999,229
40051,5518,15000,29
40109,770,799,139
40050,1100,1100,11
76085,600,600,74
189541,2200,17200,1152
40048,4404,4404,8
40078,300,399,146
40045,7400,7499,13
40076,332,474,127
40041,1000,5500,22
40040,8498,8498,12
23097,5500,5500,94
40025,3938,3938,14
22827,10887,10887,163
40034,17189,17189,36
40077,600,601,175
40093,100,100,259
52142,2077,11000,17
41467,109,109,5
40087,50,2500,11
40212,1198,1198,167
39927,100,113,13
40213,406,406,56
40217,1037,1037,80
27677,3,3,1136
190531,4411,4412,5943
74250,35,100,40478
113263,25,35,5461
11754,79,90,617
204463,190096,202296,6332
198216,32,38,358
80433,1398,1399,98
30816,1,1,269
191472,4043,4295,127811
32839,299499,299499,2
159792,200,200,14
32850,132500,132500,13
31885,100000,100000,6
4364,4,16,10692
41441,98,113,4
41443,113,213,10
154123,520,600,210
191335,12700,28042,879
180318,65,75,152
19183,1,1,1737
76658,400,400,25
194562,174,199,752
129017,34799,125000,159
76697,500,500,35
81406,31,39,295
44145,300,300,25
124437,22,23,1948383
52082,1982,1982,275
58257,9,9,206
40068,1100,1234,232
52328,2485,2985,21012
46376,585,1200,1607
76524,3475,11000,8
4595,93,95,14
52140,362,362,3
118704,474,2080,3990
76527,442,442,60
52195,2595,25000,2559
3731,2200,2200,962
199957,500,544,94
77544,1605,1689,39
11940,498,4422,45
71878,79677,79677,16
168641,1000,1200,298
127765,483300,483385,9
127761,490000,530000,11
71869,29066,29068,51
127764,99925,343525,6
199958,500,525,108
76681,876,877,18
153714,255,255,260
198221,1900,1999,885
194751,500,17200,687
23116,102,275,47
21222,400,400,147
109584,30000,142500,767
200031,12136,12532,2402
172069,116,116,1417
198296,1033,1033,66
202712,5,10,503
172091,99,99,828
81195,71099,79999,18
4402,9995,99800,256
21223,33,33,61
142117,58,65,2228
23771,600,700,836
192907,150,445200,124
172092,24,56,37726
21215,48,70,159
192933,4519,5019,21
192929,6500,6500,48
192956,2344,445200,102
184097,7500,7500,676
193922,43,56,363031
8153,20000,51500,5493
160502,44,127,10622
201991,35999,66666,3980
160712,9,28,14509
160710,7,7,4623
160398,7,7,7873
198237,115,120,72
198238,59900,2529999,8
160399,50,57,5770
3670,2892,2894,70
193561,1190,1194,790
136636,185,17200,150
193960,32,34,351
4359,600,1152,4533
3669,100,583,74
60224,2022,3383,8347
23783,2469,2734,5353
77467,1998,1998,1527
111522,6,7,86
141641,15954,15954,396
39681,1782,2381,3919
77531,792,1299,129
61984,4000,4000,185
199189,810,810,132
198290,150,158,19
21151,4,65,460
194569,3397,3495,3133
194566,3297,3300,4309
